,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
83,13 Reasons Why,/title/tt1837492/?ref_=ttls_li_tt,84,(2017–2020),MA,60  ,"Drama, Mystery, Thriller",7.5,"['Dylan Minnette', 'Katherine Langford', 'Christian Navarro', 'Alisha Boe']",301476,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
84,The Punisher,/title/tt5675620/?ref_=ttls_li_tt,85,(2017–2019),MA,53  ,"Action, Crime, Drama",8.5,"['Jon Bernthal', 'Amber Rose Revah', 'Ben Barnes', 'Jason R. Moore']",246538,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
85,The Gifted,/title/tt4396630/?ref_=ttls_li_tt,86,(I) (2017–2019),14,43  ,"Action, Drama, Fantasy",7.2,"['Stephen Moyer', 'Amy Acker', 'Sean Teale', 'Natalie Alyn Lind']",36264,"In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity."
86,True Blood,/title/tt0844441/?ref_=ttls_li_tt,87,(2008–2014),MA,55  ,"Drama, Fantasy, Mystery",7.9,"['Anna Paquin', 'Stephen Moyer', 'Sam Trammell', 'Ryan Kwanten']",251258,"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire."
87,BoJack Horseman,/title/tt3398228/?ref_=ttls_li_tt,88,(2014–2020),MA,25  ,"Animation, Comedy, Drama",8.8,"['Will Arnett', 'Amy Sedaris', 'Alison Brie', 'Aaron Paul']",168196,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
88,Modern Family,/title/tt1442437/?ref_=ttls_li_tt,89,(2009–2020),PG,22  ,"Comedy, Drama, Romance",8.5,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell']",448473,Three different but related families face trials and tribulations in their own uniquely comedic ways.
89,The Queen's Gambit,/title/tt10048342/?ref_=ttls_li_tt,90,(2020),MA,60  ,Drama,8.6,"['Anya Taylor-Joy', 'Chloe Pirrie', 'Bill Camp', 'Marcin Dorocinski']",485781,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
90,Arrested Development,/title/tt0367279/?ref_=ttls_li_tt,91,(2003–2019),14,22  ,Comedy,8.7,"['Jason Bateman', 'Michael Cera', 'Portia de Rossi', 'Will Arnett']",312037,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
91,Ozark,/title/tt5071412/?ref_=ttls_li_tt,92,(2017–2022),MA,60  ,"Crime, Drama, Thriller",8.5,"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",325972,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
92,Luke Cage,/title/tt3322314/?ref_=ttls_li_tt,93,(2016–2018),MA,55  ,"Action, Crime, Drama",7.3,"['Mike Colter', 'Simone Missick', 'Theo Rossi', 'Alfre Woodard']",134601,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must confront his past and fight a battle for the heart of his city."
93,Sons of Anarchy,/title/tt1124373/?ref_=ttls_li_tt,94,(2008–2014),MA,45  ,"Crime, Drama, Thriller",8.6,"['Charlie Hunnam', 'Katey Sagal', 'Mark Boone Junior', 'Kim Coates']",306156,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
94,SpongeBob SquarePants,/title/tt0206512/?ref_=ttls_li_tt,95,(1999– ),Y7,23  ,"Animation, Comedy, Family",8.2,"['Tom Kenny', 'Rodger Bumpass', 'Bill Fagerbakke', 'Clancy Brown']",103431,"The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple."
95,Jessica Jones,/title/tt2357547/?ref_=ttls_li_tt,96,(2015–2019),MA,56  ,"Action, Crime, Drama",7.9,"['Krysten Ritter', 'Rachael Taylor', 'Eka Darville', 'Carrie-Anne Moss']",219041,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
96,The Fresh Prince of Bel-Air,/title/tt0098800/?ref_=ttls_li_tt,97,(1990–1996),PG,22  ,Comedy,7.9,"['Will Smith', 'James Avery', 'Alfonso Ribeiro', 'Tatyana Ali']",138906,"A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion."
97,Alias,/title/tt0285333/?ref_=ttls_li_tt,98,(2001–2006),14,42  ,"Action, Drama, Mystery",7.6,"['Jennifer Garner', 'Ron Rifkin', 'Carl Lumbly', 'Kevin Weisman']",52402,"Sydney Bristow is an international spy recruited out of college, trained for espionage and self-defense."
98,Tales from the Crypt,/title/tt0096708/?ref_=ttls_li_tt,99,(1989–1996),MA,25  ,"Comedy, Crime, Fantasy",8,"['John Kassir', 'Miguel Ferrer', 'Cam Clarke', 'Larry Drake']",25552,"Tales of horror based on the gruesome E.C. comic books of the 1950s presented by the legendary Crypt Keeper, a sinister ghoul obsessed with gallows humor and horrific puns."
99,Orange Is the New Black,/title/tt2372162/?ref_=ttls_li_tt,100,(2013–2019),MA,59  ,"Comedy, Crime, Drama",8.1,"['Taylor Schilling', 'Danielle Brooks', 'Taryn Manning', 'Emma Myles']",309099,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
