,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
44,Frasier,/title/tt0106004/?ref_=ttls_li_tt,45,(1993–2004),PG,22 ,Comedy,8.2,"['Kelsey Grammer', 'Jane Leeves', 'David Hyde Pierce', 'Peri Gilpin']",87851,"Dr. Frasier Crane moves back to his hometown of Seattle, where he lives with his father, and works as a radio psychiatrist."
45,White Collar,/title/tt1358522/?ref_=ttls_li_tt,46,(2009–2014),PG,40 ,"Comedy, Crime, Drama",8.2,"['Matt Bomer', 'Tim DeKay', 'Willie Garson', 'Tiffani Thiessen']",135009,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman."
46,Bob's Burgers,/title/tt1561755/?ref_=ttls_li_tt,47,(2011– ),14,22 ,"Animation, Comedy",8.2,"['H. Jon Benjamin', 'Dan Mintz', 'Eugene Mirman', 'John Roberts']",85449,Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.
47,Ray Donovan,/title/tt2249007/?ref_=ttls_li_tt,48,(2013–2020),MA,60 ,"Crime, Drama",8.3,"['Liev Schreiber', 'Eddie Marsan', 'Dash Mihok', 'Pooch Hall']",89593,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family."
48,Pretty Little Liars,/title/tt1578873/?ref_=ttls_li_tt,49,(2010–2017),14,44 ,"Drama, Mystery, Romance",7.4,"['Troian Bellisario', 'Ashley Benson', 'Lucy Hale', 'Shay Mitchell']",171707,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend."
49,Buffy the Vampire Slayer,/title/tt0118276/?ref_=ttls_li_tt,50,(1997–2003),14,44 ,"Action, Drama, Fantasy",8.3,"['Sarah Michelle Gellar', 'Nicholas Brendon', 'Alyson Hannigan', 'Anthony Head']",151860,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends."
50,Power,/title/tt3281796/?ref_=ttls_li_tt,51,(I) (2014–2020),MA,50 ,"Crime, Drama",8.1,"['Omari Hardwick', 'Lela Loren', 'Naturi Naughton', 'Joseph Sikora']",48837,"James ""Ghost"" St. Patrick, a wealthy New York nightclub owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin."
51,The Shield,/title/tt0286486/?ref_=ttls_li_tt,52,(2002–2008),MA,47 ,"Crime, Drama, Thriller",8.7,"['Michael Chiklis', 'Walton Goggins', 'Michael Jace', 'Jay Karnes']",83163,Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.
52,Atlanta,/title/tt4288182/?ref_=ttls_li_tt,53,(2016–2022),MA,30 ,"Comedy, Drama, Music",8.6,"['Donald Glover', 'Brian Tyree Henry', 'LaKeith Stanfield', 'Zazie Beetz']",79886,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood."
53,The Good Wife,/title/tt1442462/?ref_=ttls_li_tt,54,(2009–2016),14,43 ,"Crime, Drama, Mystery",8.4,"['Julianna Margulies', 'Chris Noth', 'Josh Charles', 'Matt Czuchry']",78561,"Alicia Florrick has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm."
54,Louie,/title/tt1492966/?ref_=ttls_li_tt,55,(2010–2015),MA,22 ,"Comedy, Drama",8.5,"['Louis C.K.', 'Hadley Delany', 'Ursula Parker', 'Pamela Adlon']",80239,"The life of Louie C.K., a divorced comedian living in New York with two kids."
55,The Orville,/title/tt5691552/?ref_=ttls_li_tt,56,(2017– ),14,44 ,"Adventure, Comedy, Drama",8,"['Seth MacFarlane', 'Adrianne Palicki', 'Penny Johnson Jerald', 'Scott Grimes']",92630,"Set 400 years in the future, finds the crew of the U.S.S. Orville continuing their mission of exploration, as they navigate both the mysteries of the universe and the complexities of their own interpersonal relationships."
56,Friday Night Lights,/title/tt0758745/?ref_=ttls_li_tt,57,(2006–2011),14,44 ,"Drama, Sport",8.7,"['Kyle Chandler', 'Connie Britton', 'Zach Gilford', 'Aimee Teegarden']",68824,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor."
57,Veronica Mars,/title/tt0412253/?ref_=ttls_li_tt,58,(2004–2019),14,44 ,"Crime, Drama, Mystery",8.4,"['Kristen Bell', 'Jason Dohring', 'Enrico Colantoni', 'Percy Daggs III']",75378,"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune."
58,Saving Mr. Banks,/title/tt2140373/?ref_=ttls_li_tt,59,(2013),PG-13,125 ,"Biography, Comedy, Drama",7.5,"['John Lee Hancock', 'Emma Thompson', 'Tom Hanks', 'Annie Rose Buckley', 'Colin Farrell']",165544,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
59,The Office,/title/tt0290978/?ref_=ttls_li_tt,60,(2001–2003),MA,30 ,"Comedy, Drama",8.5,"['Ricky Gervais', 'Martin Freeman', 'Mackenzie Crook', 'Lucy Davis']",116879,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.
60,Heinola Sinfonietta - Rock 2005,/title/tt10560400/?ref_=ttls_li_tt,61,(2006 Video),MA,30 ,"Comedy, Drama",8.5,"['Ricky Gervais', 'Martin Freeman', 'Mackenzie Crook', 'Lucy Davis']",116879,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.
61,American Horror Story,/title/tt1844624/?ref_=ttls_li_tt,62,(2011– ),MA,60 ,"Drama, Horror, Sci-Fi",8,"['Lady Gaga', 'Kathy Bates', 'Angela Bassett', 'Sarah Paulson']",326627,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC."
62,Preacher,/title/tt5016504/?ref_=ttls_li_tt,63,(2016–2019),MA,60 ,"Adventure, Drama, Fantasy",7.9,"['Dominic Cooper', 'Joe Gilgun', 'Ruth Negga', 'Ian Colletti']",77370,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God."
63,Line of Duty,/title/tt2303687/?ref_=ttls_li_tt,64,(2012–2021),14,60 ,"Crime, Drama, Mystery",8.7,"['Martin Compston', 'Vicky McClure', 'Adrian Dunbar', 'Craig Parkinson']",63465,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
64,Black Sails,/title/tt2375692/?ref_=ttls_li_tt,65,(2014–2017),MA,56 ,"Action, Adventure, Drama",8.2,"['Jessica Parker Kennedy', 'Toby Stephens', 'Hannah New', 'Zach McGowan']",107913,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island."""
65,Castle Rock,/title/tt6548228/?ref_=ttls_li_tt,66,(2018–2019),MA,60 ,"Drama, Fantasy, Horror",7.5,"['Bill Skarsgård', 'André Holland', 'Lizzy Caplan', 'Melanie Lynskey']",48137,"Based on the stories of Stephen King, the series intertwines characters and themes from the fictional town of Castle Rock."
66,11.22.63,/title/tt2879552/?ref_=ttls_li_tt,67,(2016),MA,60 ,"Drama, Mystery, Romance",8.1,"['James Franco', 'Sarah Gadon', 'George MacKay', 'Chris Cooper']",91326,A high school teacher travels back in time to prevent John F. Kennedy's assassination.
67,The Killing,/title/tt1637727/?ref_=ttls_li_tt,68,(2011–2014),14,45 ,"Crime, Drama, Mystery",8.3,"['Mireille Enos', 'Joel Kinnaman', 'Billy Campbell', 'Liam James']",116000,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
68,Steins;Gate,/title/tt1910272/?ref_=ttls_li_tt,69,(2011–2015),14,24 ,"Animation, Comedy, Drama",8.8,"['Mamoru Miyano', 'Asami Imai', 'Kana Hanazawa', 'Ashly Burch']",66110,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
