,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
88,Inside Bill's Brain: Decoding Bill Gates,/title/tt10837476/?ref_=ttls_li_tt,89,(2019),14,52 ,Documentary,7.8,"['Bill Gates', 'Davin Orness', 'Alex Bueermann']",11329,A documentary that tells Bill Gates' life story as he pursues solutions to some of the world's most complex problems.
89,Maniac,/title/tt5580146/?ref_=ttls_li_tt,90,(2018),MA,386 ,"Comedy, Drama, Sci-Fi",7.7,"['Emma Stone', 'Jonah Hill', 'Sonoya Mizuno', 'Justin Theroux']",81706,"Two strangers are drawn to a mysterious pharmaceutical trial for a drug that they're assured will, with no complications or side-effects whatsoever, permanently solve all of their problems. Things do not go as planned."
90,Santa Clarita Diet,/title/tt5580540/?ref_=ttls_li_tt,91,(2017–2019),MA,30 ,"Comedy, Horror",7.8,"['Drew Barrymore', 'Timothy Olyphant', 'Liv Hewson', 'Skyler Gisondo']",71492,"Sheila and Joel are married real estate agents who live and work in Santa Clarita, California. When Sheila dies, their lives take a dark turn."
91,A Series of Unfortunate Events,/title/tt4834206/?ref_=ttls_li_tt,92,(2017–2019),PG,50 ,"Adventure, Comedy, Drama",7.8,"['Neil Patrick Harris', 'Patrick Warburton', 'Malina Pauli Weissman', 'Louis Hynes']",63552,"After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets."
92,Conversations with a Killer: The Ted Bundy Tapes,/title/tt9425132/?ref_=ttls_li_tt,93,(2019),MA,236 ,"Documentary, Biography, Crime",7.7,"['Stephen Michaud', 'Bob Keppel', 'Kathleen McChesney', 'Ward Lucas']",31439,"A look inside the mind of serial killer Ted Bundy, featuring interviews with him on death row."
93,El Chapo,/title/tt6692188/?ref_=ttls_li_tt,94,(2017–2018),MA,43 ,"Biography, Crime, Drama",7.8,"['Marco de la O', 'Humberto Busto', 'Diego Vásquez', 'Juan Carlos Cruz']",19389,"A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016."
94,Undercover,/title/tt7263154/?ref_=ttls_li_tt,95,(2019– ),MA,50 ,"Crime, Drama, Thriller",7.8,"['Tom Waes', 'Frank Lammers', 'Manou Kersting', 'Elise Schaap']",18371,"Inspired by real events, undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends."
95,I Think You Should Leave with Tim Robinson,/title/tt10050772/?ref_=ttls_li_tt,96,(2019– ),MA,16 ,Comedy,8,"['Tim Robinson', 'Sam Richardson', 'Patti Harrison', ""Conner O'Malley""]",14885,"In this new sketch show, Tim Robinson and his guests spend each segment driving someone to the point of needing--or desperately wanting--to leave."
96,You,/title/tt7335184/?ref_=ttls_li_tt,97,(2018–2024),MA,45 ,"Crime, Drama, Romance",7.7,"['Penn Badgley', 'Victoria Pedretti', 'Tati Gabrielle', 'Ambyr Childers']",277372,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
97,Love,/title/tt4061080/?ref_=ttls_li_tt,98,(2016–2018),MA,50 ,"Comedy, Drama, Romance",7.7,"['Gillian Jacobs', 'Paul Rust', ""Claudia O'Doherty"", 'Mike Mitchell']",44158,"A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment, and other things they were hoping to avoid."
98,Alias Grace,/title/tt1034007/?ref_=ttls_li_tt,99,(2017),MA,267 ,"Biography, Crime, Drama",7.7,"['Sarah Gadon', 'Edward Holcroft', 'Rebecca Liddiard', 'Zachary Levi']",34845,"In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity."
99,The Serpent,/title/tt7985576/?ref_=ttls_li_tt,100,(2021),MA,458 ,"Crime, Drama, Thriller",7.6,"['Tahar Rahim', 'Billy Howle', 'Jenna Coleman', 'Ellie Bamber']",46013,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail."
