,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
32,Bhoot Police,/title/tt10083640/?ref_=adv_li_tt,33,(2021),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
33,Maharshi,/title/tt8333978/?ref_=adv_li_tt,34,(2019),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
34,Wedding Agreement: The Series,/title/tt14631244/?ref_=adv_li_tt,35,(2022– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
35,Sri Asih,/title/tt10994712/?ref_=adv_li_tt,36,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
36,KKN di Desa Penari,/title/tt11013610/?ref_=adv_li_tt,37,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
37,Check Store Next Door,/title/tt6366854/?ref_=adv_li_tt,38,(2016),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
38,Veera Simha Reddy,/title/tt15387190/?ref_=adv_li_tt,39,(2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
39,The Good Wife,/title/tt21975100/?ref_=adv_li_tt,40,,MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
40,The Great Indian Murder,/title/tt16729514/?ref_=adv_li_tt,41,(2022– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
41,Civil Servant,/title/tt10078462/?ref_=adv_li_tt,42,(2019– ),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
42,Vikrant Rona,/title/tt12015102/?ref_=adv_li_tt,43,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
43,Malikappuram,/title/tt22037066/?ref_=adv_li_tt,44,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
44,Perempuan Bergaun Merah,/title/tt11710112/?ref_=adv_li_tt,45,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
45,Sembi,/title/tt15465098/?ref_=adv_li_tt,46,(2022),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
46,May the Devil Take You Too,/title/tt10776270/?ref_=adv_li_tt,47,(2020),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
47,O Kala,/title/tt27441163/?ref_=adv_li_tt,48,(2023),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
48,Gundala,/title/tt8237172/?ref_=adv_li_tt,49,(2019),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
49,Yuni,/title/tt13834788/?ref_=adv_li_tt,50,(2021),MA,29 ,Comedy,8.7,"['Chris Addison', 'James Smith', 'Peter Capaldi', 'Joanna Scanlan']",24529,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
